Premise,Hypothesis,Label
He has a mobility aid to help him walk.,Making fun of disabilities is unethical.,1
Only real men should be in sports.,No one should face hate for their religion.,2
He recently came out and everyone supported him.,All genders deserve equal opportunity.,1
My friend is recovering from a chronic illness.,Making fun of disabilities is unethical.,1
All Muslims are terrorists.,Sexual orientation should never be a reason for discrimination.,2
Only real men should be in sports.,All individuals deserve equal respect.,2
All Muslims are terrorists.,Disease should not be a source of shame.,2
Their religion is a joke.,No one should face hate for their religion.,2
"He’s acting so gay, it’s disgusting.",All individuals deserve equal respect.,2
She’s too emotional to be a leader.,No one should face hate for their religion.,2
People from all over live in my neighborhood.,Ethnic slurs are harmful and unacceptable.,1
People with AIDS deserve it.,Everyone has the right to express their gender identity.,2
All people should be valued equally.,No one should face hate for their religion.,0
Trans people are mentally ill.,People with different beliefs must be treated with kindness.,2
She’s too emotional to be a leader.,Sexual orientation should never be a reason for discrimination.,2
Go back to your own country.,Sexual orientation should never be a reason for discrimination.,2
They discuss identity politics often.,Mocking others for their health conditions is wrong.,1
It’s right to stand against bigotry.,People should not be discriminated against based on their background.,0
"I hate those immigrants, they don't belong here.",Sexual orientation should never be a reason for discrimination.,2
People with AIDS deserve it.,Ethnic slurs are harmful and unacceptable.,2
He’s proud of his heritage.,Making fun of disabilities is unethical.,1
Protecting vulnerable groups is essential.,Mocking others for their health conditions is wrong.,0
Some people prefer to keep their beliefs private.,No one should be treated unfairly due to their origin.,1
He's learning about gender equality.,We should treat immigrants with dignity.,1
My roommate is from a different country.,Respecting others' gender is a moral duty.,1
Some people prefer to keep their beliefs private.,People with different beliefs must be treated with kindness.,1
They discuss identity politics often.,Making fun of disabilities is unethical.,1
She's been practicing her faith more often now.,Everyone has the right to express their gender identity.,1
They immigrated here a few years ago.,All individuals deserve equal respect.,1
That disease is karma for their lifestyle.,People should not be discriminated against based on their background.,2
My friend is recovering from a chronic illness.,Sexual orientation should never be a reason for discrimination.,1
Go back to your own country.,All individuals deserve equal respect.,2
